text;emotion
Pengiriman datang lebih cepat dari estimasi. Dari ukuran sesuai dengan yang di order, Material sepatu oke, no defects, style sepatu bagus (imo), overall good shoes 👌;senang
Barangnya oke Tapi sedikit ada noda di sepatunya;sedih
Bagus bgt wort it sih,aerostreer emng ga pernah gagal👍🏻 tapi gatau knp pas udah smpai kotak ny bolong kek sengaja dibolongin;senang
Barang sesuai yang dipesan  Mohon diperbaiki lagi untuk packing nya;senang
Barang samapai dgn aman.. Produk Sesuai dengan gambar;senang
Keren si, cuman finishing nya kurang, outsol bawah nya masi ada bekas cetakan menonjol, sudah bertahun tahun ngoleksi aerostreet tapi kualitas finishing nya masih kurang;marah
Bagus sesuai yang di foto, cumann ada beberapa benang lebih yang kurang rapi dan bagian depan yang agak kurang presisi. Selebihnya baik;senang
Bentuk dan ukuran: Pas Warna: Sesuai ekspektasi Demi allah ini sepatu bagus bangetttttttrt😭😭🖤 jahitan rapiiiii cocokkkkkk bgtt buat cewe cowokkk,intinya bagus pollllll rekomen bgtttt👍;senang
"Sekelas aerostreet barang yg gak lolos QC ttp dikirim, atau malah gak ada QC nya? jaitan jelek bnget😣 lubang jarum, mepet, banyak benang yang keluarrr. Semoga awet dehhh;( udh chat pihak aeronya malah gitu ajh tanggapannya, padahal saya udh ngirirm dari yang 3 poit itu. Bentuk dan ukuran: Disarankan upsize";marah
Bentuk dan ukuran: Bentuk bagus, ukuran pas Warna: Coklat Aroma: Agak bau;senang
insole sblh kiri nekuk, jd klo di pake ngganjel gitu,, blm di coba, kayaknya enak sih, jahitan rapi tapi jahitan di bagian tali, ada bbrpa benang yg msh panjang/nglewer, tp ttp bintang 5 kog 😁;senang
Barangnya bagus sesuai digambar, ukurannya pas, pengiriman juga cepat;senang
Kualitas bagus banget, tapi ukuran terlalu ngepas. Dari dulu pesennya aerostreet sampai sekarang. Terimakasih;senang
Akhirnya dapat juga Modelnya keren suka banget. TOP aerostreet. THE BEST;netral
mantapp toko amanah. dan pengiriman cepat;senang
Bagus ukuran pas,pengiriman cepet👍👍;senang
mantap walaupun ada noda dikit warna merah bisa di bersihin lahh ini buat yg biasanya di sepatu merek lain pake ukuran 42 di downsize ke 41 masih anan pas bngt ngga obleg di kaki nyaman polll👍🏻🔥🔥🔥;sedih
mantap ...real pick... sepatu lokal...sepatu kekinian ...cintai produk lokal....;senang
Kualitas bagus dengan harga segitus puas;senang
Bagus banget, dengan hrg yg sangat murah, good job aerostreet;senang
bagus,bagus,bagus mantap semoga awet;netral
Dengan harga segini barangnya bagus dan empuk, semoga awet dah;senang
Dengan harga segini barangnya bagus dan empuk, semoga awet dah;senang
packaging ga banget, entah ini dr ekspedisi kondisi box di congkel atau dr pengirim diawal, terus juga pengiriman luar kota masak cuma dbalut plastik bening aja, pas dbuka lebih parah lg kertas untuk nutpin spatu nya robek” pdhl ini untuk hdiah gatau ya kslahan dr pengirim atau kurir🙏;netral
Bagus eumpuk sepatu ea, akan pesen lagi, dengan warna lain;senang
barang sudah sampai dengan selamat, pengiriman cepat..;senang
suka bgt Bentuk dan ukuran: pas;netral
Bentuk dan ukuran: sesuaii, baguss;netral
Warna: oke packing nya kurang rapi;netral
Jahitan agak kurang rapi, bagian outsole cutingan kurang rapi, dan sedikit luka minor, kenyamanan lumayan, untuk kaki lebar saran upsize;marah
Jujur puas banget dengan sepatunya, bagus banget ini austin dan bahannya juga empuk bagiku, tapi mungkin agak kekecilan karena kesalahan pribadi salah pilih ukuran, tapi tidak masalah karena aku suka banget ini aerostreet austin;sedih
sebagai warlok yang ngeliat iklan sepatu aerostreet bertebaran di layar, aku cukup amaze sama produknya. dulu ragu buat beli karena masih skeptis merk baru. sekarang nyobain beli di tipe ini karena liat cukup enak di mata. ternyata bahannya setebel ini. kayak bukan sepatu di harga segini. insole juga empuk.  semoga awet;sedih
Pengiriman cepat.. Bagus dan mantap;senang
Bentuk dan ukuran: Sesuai pesanan, nyaman pas di pakai, ukuranny juga pas di kaki, mulus sepatuny, menambah performa laki² , mbois abis, amanah gak pernah ngecewain belanja di toko ini, apa lg produkny AS AeroStreet jos gandos , laris manis 👍;senang
Pas dateng bagus tapi agak sayang kardusnya rusak terus ada noda dikit;sedih
Setelah Paket datang Kardus atas sobek sama plastik nyah, Tapi untuk Dalem nyah Overall bagus sepatu bahan nyah enak lembut ga bikin di kaki sakit;senang
Bentuk dan ukuran: pas Daya tahan pakai: nyaman Warna: natural cocok untuk semua outfit;marah
Bentuk dan ukuran: Pas dan nyaman di pakai Cocok buat nongki atau acara resmi;marah
Puas keten sepatunya, cuma agak nyesel naikin size 1 nomor size yg biasa aku pakai kalo beli sepatu, hasilnya agak longgar dikit bagian depan cuma msh nyaman dipake sih, saranku sih kalo mau order gak perlu naikin ukuran dari size yg biasa dipakai, good lah;senang
Bentuk dan ukuran: bagus n pas Aroma: aroma sepatu baru Daya tahan pakai: awet bertahun-tahun Warna: bagus sesuai;senang
Pas ukuran nya dan nyaman dipakai bagus nggak musti harus mahal..bisa nambah lagi co nya..;senang
Bentuk dan ukuran: Bentuk dan ukuran sesuai Daya tahan pakai: Semoga tahan lama Warna: Sesuai pesanan;netral
Bahan bagus nyaman dipakai , cuma ada masalah pada tag sizenya, terlepas dan ad tag size pertamanya dengan ukuran yg berbeda, ini maksudnya gimana yh min;senang
ada sobekan dibagian belakang nya, untuk insole lumayan empuk, model nya oke, pengiriman cepat karena area klaten;senang
overall ini sesuai ekspektasi, tapi sepatunya sedikit lebih berat but its oke. pas dicoba juga empuk banget gila insole nya, ini insole terbaik sih menurut saya. ditunggu inovasi insole selanjutnya dari aerostreet. dan terkahir dari desain, ini kece abis. masuk sih ke fashion jaman sekarang.;marah
Bagus, tp ndak dapet tali tambahan. Trs talinya ada bekas kotornya. Selain itu bagus semua;senang
Sepatunya bagus banget bahannya halus jahitanya rapih. Sepatu murah tapi tidak murahan. Sudah dicoba dipakai ternyata empuk dan nyaman;senang
Sesuai sama gambar, sepatunya enteng, bikin nyaman dan ukurannya pas Bentuk dan ukuran: 40;netral
Sukaa bgd. Ngga nyesel belinya, asli cakep.  Aku biasa pakai size 39, ukuran kaki 25,2 tapi sengaja beli ukuran 40. Ternyata nyaman dan pas klo pakai kaos kaki Makin cinta sama sepatu lokal👍🏻;senang
Overall worth it dengan harganya MANTAP! sedikit kritik soal kerapian dan ketelitian produksi, ada noda lem dan bagian dalam sepatu yang sobek.. Harapan bisa selalu evalusi dan menjadi semakin baik 👍🏻;sedih
Alhamdulillah..bagus ..beli karena penasaran pas liat iklannya..cuma sayang pas pengiriman kardus cuma d bungkus dg plastik tipis,dan ketika saya terima sdh kebuka sebagian bungkusan ..dan kalo kurir jahil paket bisa hilang .. semoga kedepannya kalo kirim barang lbh aman lagi ..;senang
Bentuk dan ukuran: Ukuran pas Aroma: Khas baru Daya tahan pakai: Baru nyoba semoga awet Asli keren banget;netral
Terimakasih Aerostreet 😊  Produk diterima dengan aman Pengiriman oke dan Peking rapi. Sepatu ukuran pas produk bagus Buat masukan untuk telapak atau bantalan  Sepatu pas dipake ditelapak kaki kurang nyaman ada yang ganjel atau nonjol ditelapak kaki  mohon diperbaiki  Untuk kenyamanan. Terima kasih;senang
Barang mulus. Bagus banget bahan nya nyaman di pakai. Elastis juga nggk keras Cuma dari packingan doang kurang aman Sehingga dus nya ruksak;senang
produk nya sudah bagus munkin cuma di bagian finishing nya yg kurang karena ada beberapa bagian benang² nya belum di rapikan, dan saran aja sih sebenernya bahan yg si gunakan untuk area tali sepatu mungkin bisa lebih baik lagi karena sekilas agak rawan robek saat per geseran tali sepatu Bentuk dan ukuran: pas Warna: sesuai;senang
Barangnya kece, tapi di bagian bawah sepatunya kok ada kaya kegompal gitu itu potong karetnya atau apa soalnya berserabut gitu..;marah
Sepataunya bagus sesuai sama foto kualitas nya juga bagus tapi buat keamanan pengiriman nya agak kurang aman;senang
alhamdulillah paketnya tiba di tujuan dengan selamat, packingnya mayan bagus ga basah juga cuman box sepatu rada penyok dikit, but Overall sangat bagus.;senang
Bentuk dan ukuran: Bagus dan pas Sepatunya nyaman dan empuk. Model yg kekinian  Cocok untuk acara formal ataupun non formal Mungkin ada sedikit masukan untuk aerostreet, Untuk bekas jahitan nya di rapihkan lgi. Dan dri packagingnya mungkin bisa ditambah bubble wrap atau dibungkus plastik hitam.;marah
belakang nya ga sma rata  bentuk nya , satu tinggi satu pendek;netral
Platnya Harusnya warna Hitam aja ini agak kecoklatan dan lipatan bagian depan agak keras jika di pakai Jalan Yang Lubang saat di ikat itu yang teksturnya agak keras dan bikin sakit lihat foto yang kukirim mgkn bsa jadi masukan;marah
Udah 3 kali beli sepatu Aerostreet tpi memang Austin ini yg paling nyaman dipake. pokoknya tdk pernah dibuat kecewa sma brand lokal satu ini. mantap.;marah
Terima kasih, pesanan nya sudah sampai. Untuk packingnya sangat tidak aman, karena cuma pakai plastik tipis, box nya juga penyok Bentuk dan ukuran: Biasanya pake ukuran 37 dan pas. Kalau ini terasa agak sesak, mungkin harus up size pas pembelian nya. Bantalan nya jga tdk rata Aroma: Bau lem Daya tahan pakai: Semoga awet Warna: Cokelat tua;senang
ukuran pas, model oke. packing rapi tp kardusnya penyok krn ga diapis bubble. saran aja mgkn standar pengemasan untuk pengiriman ke luar jawa tengah dilapis lagi dengan bubble agar kardusnya masih bisa digunakan;netral
"Bagus bgt, nyaman di pakai, pengiriman cepat, next order lg Bentuk dan ukuran: Sesuai Aroma: Bau lem Daya tahan pakai: Mudah""n awet Warna: Realpict";senang
Barang bagus dan dateng sesuai fambar,cuma agak kecewa ama packingny ga aman  banget polosan doang dan alhasil kardus penyok;senang
niat buat cwo saya beli uk 39 pas saya coba ko muat longgar dikit doang pdhl biasanya saya pake yg 24 cm mungkin perlu upsize kayanya kekecilan buat cwo sya trus ada kotor dikit dan lem yg berlebih untuk kualitas si bagus pengirimannya juga cepet banget 1 hari doang  kurir juga baik;senang
Worth it banget,dengan harga sekian dapat kualitas produk bagus.Nyaman,empuk dipakai;netral
Bentuk dan ukuran: ukuran pas sesuai size yang di pilih worth it banget sepatu sebagus ini dengan harga yang murah, desainnya bagus kece abiss rekomend banget sih gausah mikir² klo mau beli, pengirimannya cepet banget 2hri langsung sampe padahal jaraknya jauh thx seller dan kurir👍;senang
Gila sih bahannya bagus banget padahal hrga sgni kualitas tapi paten pokoknya maju terus usahahya tetap hrga murah meriah tapi kualitas bukan yang murah top bangettt deh buat tkonya;senang
Dapet juga akhirnya size 37 ukuran kaki 23,5 klo disini cekout 37 aja guys pas masih longgar dikit nnti juga kelamaan sering dipake bakal lomggar enak,cuma syg aero kenapa si packingnya gak safety bgt cuma plastik gtu doang😤;sedih
Sepatu nya keren empuk dan nyaman di pakai tapi Masi ada sedikit bekas jahitannya yg kurang rapi;marah
Tob Bentuk dan ukuran: Menarik dan pas Aroma: Sepatu baru tau dong aromanyah Daya tahan pakai: Dr bentuk dan fleksibiliti baik bersaing dgn merk² terkenal Warna: Cool calm & confidence;senang
Pas banget ukuran nya,bahan nya juga nyaman next beli di sini lagii;netral
bagus siimayan, tp alas kakinya terlalu panjang ,jadinya kurang pw  mungkin perlu digunting dulu sii;senang
Untuk bahan nya bagus, tp masih belum aku coba  Baru aku lihat dan pegang aj   Padahal aku beli dua tp enggak dapat bonus;senang
Warna: Putih Bentuk dan ukuran: 38 untuk panjang kaki 23cm pas ga terlalu kebesaran Daya tahan pakai: Dipakai nyaman ringan, empuk ga sakit di kaki Dikirim ke Jogja cepet cuma 2 hari sampe, tapi dari packaging nya kaya ga niat gitu ya wkwk. Cuma plastik Tampa dobelan apa karna Deket juga ga tau sih. Buat uk cewe turunin 1 sz biar ngga kegedean.;marah
Overall bagus cuma dibagian suedenya ada sedikit noda pict 1 jadi harus dibersihkan duluuu;senang
sepatu yg ke dua kalinya empuk, nyaman, awet cma ko model yg ini brasa lebar banget 😭 jd msih ada rongganya di bagian sampink kaki;netral
jahitan rapi, bahan bagus, tebal, semoga awet, selebihnya biar bintang yg berbicara;senang
Kotak nya gak penyot 🤣👍🏾  Sepatu berat. Ukuran 44 ( 28.5 cm ) ternyata muat. Bahan nya bagus. Tapi tapak nya yg kurang Sukak. 👍🏾👍🏾👍🏾;netral
Puas,nyaman,enteng,bagus,rapih,mewah, elegan, selebihnya puas,nyaman,puas,nyaman, puas,nyaman,sangat bagusss🔥🔥🔥🔥  Pengiriman untuk Sumatra Utara ujung perbatasan dengan Riau, lumayan lama;sedih
Produk sesuai, size sesuai, aman dan nyaman;senang
Bentuk dan ukuran: Sesuai dengan ukuran, pas dikaki Aroma: Harum Daya tahan pakai: Belum dicoba Warna: Sesuai;netral
Bagus sih emangg ini yang di tunggu2 pas restock tanpa pikir panjang langsung co tapi ya... pas datang kurang rapih ajaa, kalo soal bahann baguss sih dengan harga segituu✨️🤭ini jg ada kotornya dikit, mhon untuk lebih teliti yaa☺️;senang
bahannya bagus banget dengan harga yg terjangkau👍👍;senang
bagus banget sesuai ekspetasi,empuk dan nyaman pakai🥰;senang
alhamdulillah aman tapi kalau bisa box quality nya lebih ditingkatkan;senang
Alhamdulillah sepatunya bagus bangetttt Sedikit kebesaran sih cuman its oke, solnya empuk, busanya tebal, cuman pakingannya ngeri yah cuman pelastik bening mana ujungnya udah sobek dikit + boxnya sedikit penyok;senang
Barang sesuai, pengiriman cepat.saya pakai ukuran 42,pas di kaki nyaman.;netral
masak sepatu sekelas aerostreet finishingya jelek banget ada benang2 yang q rasa jahitnya gak rapi.;marah
Akhirnya nyampe, kirain ga nyampe sebelum lebaran karena overload 😚 Bagus! Sukaakkk! Empuk bgt sepatunya. Cuma ada noda dikit, tapi yaudah gapapa. dikit doang, kek bekas garis gitu.;netral
Produknya bagus bgt tapi packaging nya kurang bubble wrap;senang
Real pict, udah langganan dr awal aero launching. Biasanya di toko oren, cuma skrg coba disini, ternyata smsm cepet sampainya. Dn fyi, aku punya produk sepatu slip on dan hoops dr taun 2019 sampek sekarang masih buwagus guys. Aero emang sebagus itu bahannya, dn sekarang lebih buwagus lagi;senang
cakep banget sesuai ekspetasi benerann casualll bangettt, dia ini emg tipe nya lebar soalnya kakiku panjang jadi agak lebar dikitt ini bisa dibilang berat ga berat soalnya 300gram. semogaa awett;marah
Baguss bangett Pas banget dikaki dan nyaman;netral
Rapih bgt sepatunya, ternyata ringan, tapi kuat. Di styling bagus;senang
Pesanan sesuai hati bahan ok,  kenyamanan pas, warna juga ok . the best la pokoknya AeroStreet;netral
Barang tidak sesuai pesanan ... order austin coklat tua natural yang dikirim navy;senang
Bentuk dan ukuran: Pas... Nyaman dipakai Real Pict Warna: Bagus.. Pembelian yang ke 2 kali...;senang
Pengiriman sangat cepat, produk juga bagus sama sekali tidak mengecewakan cukup puass banget 😍😍;senang
Kualitas sangat bagus,cintai produk lokal;senang
Mantap... setelah kemarin beli sizenya kekecilan . Akhirnya Cek Out lagi... mantul... empuk banget. Tapi sayang ada benang yg ndak rapi;senang
Warna: Putih Ukuran: 41 Kualitas sangat bagus, memuaskan, pengiriman cepat;senang
Barang nya bagus sekali, sesuai ekspektasi Pengiriman nya juga cpat;senang
"Untuk size 42 kaya gua kalo 42 abis opsi 41 masih bisa dipertimbangkan sih masih pas ga pres"" banget";netral
Sepatu murah keren, cukup nyaman dipakai....pas sekali dgn slogan di stikernya..Now Everbody Can Buy Good Shooes..saran sih kalo bs pakenya  1 nomor diatas yg biasa eloe pake..biar lebih leluasa;netral
Bagus banget Bentuk dan ukuran: Pas Warna: sesuai;senang
Thanks seller, keren gini sepatunya;netral
sumpah ini bagus banget ih asli, cakeeep banget pas dipake nyaaa, pokona teh worth to buy lahh, thank yooouu🫰🏼🫰🏼;senang
Baru pertama kali beli produk online secakep ini, sampe speechless wow banget sih ini, kirain bakal biasa aja, ternyata cakep banget woi ga boong sumpah, kalian harus order sih, terimakasih aerostreet akhirnya aku nemu brand lokal yang cakep parahhh;senang
Packinging oke, gk ada kerusakan. Sepatu jga nyaman, first time nyoba sepatu brand aerostreet. Semoga kualitas jga ok;netral
allhmdulillah ngewar uk 38 susah bngt untung dapet sesuai nyaman bagus jugaa🥹🥹🥰;senang
Sesuai foto, tapi keras ya sepatunya  Tapi gpp tetap cintai produk lokal ya ges ya;netral
kualitas barang bagus... modelnya juga oke...;senang
Keren parah aslii.. Ukuranya pas kaki, Harus coba produk lokal, recomended, bakal jadi langganan sih ini 🤩 Semoga awett..  Thanks y'all!!;netral
Size : 42 Warna :putih Barang bagus tapi bantalan nya kurang rapih;senang
proses cepat, barang cakep. bisa dibilang ni sepatu cocoknya harga 250an;senang
Alhamdulillah paketnya sudah sampai... Sepatu aerostreet Sesuai dengan real Poto... Ukurannya juga sesuai pesanan. Sepatu sebagus ini dengan harga terjangkau worth it sie menurut aku...kalian yang mau beli di toko ini ya amanah banget...;senang
Aerostreet pertama akhirnya kebeli. Stlh bbrp kali kehabisan jika ngincer salah satu artikel. Build qualitynya gak kaleng kaleng jika melihat dr harganya. Mantab!;marah
produk sesuai dan empuk, secara look cakep abiss;netral
Nyampe dengan cepat dengan baik,sepatu kece abis tapi trll manis kalo buat cowok. Entah nanti suamiq suka apa enggak,tau gitu AQ ambil yang warna navy aja.;senang
Bagus banget sesuai gambar,,, cocok di pake konser;senang
Sepatunya susah aampai.. Dan bangus banget;netral
Orderan sudah sampai, Produk original, mantap betul.;netral
Mantul poko nya ga bakalan nyesell ..  Kualitas mahal;netral
Alhamdulillah... Pesanan di terima, walaupun kehujanan. Dalam pengiriman, Alhamdulillah sepatunya masih aman .. sepatu nya sesuai dengan yg di gambar atau vidio.  . Mantap empuk dipake nya.. Ga nyesel sih beli prodak Aerostreet....;senang
Packingnya bagus  Pngiriman cepat Brng sesuai dengan ekspektasi  Pokokknya recomended;senang
Bagus, sesuai dengan gambar.   Ada sedikit noda hitam..entah itu noda apa, tapi masih bisa dicuci sih...;sedih
Keren pokonya kalau produk aerostreat👍 Warna: Keren Bentuk dan ukuran: Pas di kaki;netral
Bentuk dan ukuran: sepatu nya rada kecil pdhl ambjl sz 41;netral
Sumpahhhh speachlees bgttt ini bagus parah😩 pokonya aku rekomenin, harus punya minimal 1 aja serius ini empuk terus ringan harga murah tapi ga murahan🥰🥰🥰;senang
Barangnya bagus bgt, sesuai dengan foto, dan ga nyesel deh tungguin restok nya;senang
Pertama kali beli sepatu aerostreet, ini bagus banget sih kualitasnya, dijual dibawah 200 ribu doang gokil sih;netral
Bentuk dan ukuran: 40 tebel sii, sukak🤎;netral
Syg bgt kerdusnya botel karna packagingnya ga safety, tp for all good;netral
Desain sepatu yang stylish dan modern, mereka sangat puas melihat sepatu barunya. Semoga awet.;senang
pengiriman cepet.sepatunyaaa bagusss bangettt,ganyesel sii langganan aerostreet🥰🥰semoga awett,cuma saran aja pakingan nya aga dirapihin lagi apalagi musim hujan gini dusnya jadi basah😁tapi gapapa yg penting sepatu aman;senang
kardusnya, kurang takut penyet aja selebihnya oke;marah
ga nyesel beli ini, karena sesuai ekspetasiku, sol nya juga tebelll, warnanya cantiik, masuk ke semua outfit lagii, bintang 5 buat aerostreet ⭐️⭐️⭐️⭐️⭐️;senang
Bentuk dan ukuran: Sesuai yang dipesan Warna: Coklat tua;senang
keren model sepatunya dan ukurannya pun pas dikaki ,terimakasih aero street dan kurir sicepat yg nganter cuman 2hari diluar prediksi  ⭐️⭐️⭐️⭐️⭐️;netral
Koleksi ke empat dari aerostreet. Emang sebagus itu woii, mana murah lagi kan. Mumpung promo juga. Thank you min;senang
uda beberapa kali beli produk aero street,gapernah gagal👍🏻👍🏻 makin banyakin variasi nya min 👌🏻;sedih
Gila sih ini sepatu ajib bngt...empuk di pake enak,,,ukuran pas di naikin uk,biasa pke 40 pesen 41...;marah
Bentuk dan ukuran: Empuk pisan enakeun adem;netral
Produk Bagus, Sesuai Harga Sayang di dalam sepatu bagian ujung dalamnya ada potongan yang tidak rapi jadi Waktu di pakai ada benjolan yang bikin kaki kurang nyaman;senang
Kualitas bagus nyaman ,cuma bentuknya ada yang gak sama kanan dan kiri;senang
Bentuk dan ukuran: passs Warna: oke sukaa bgt, ga ngecewain pkonya🫰🏻;netral
No Komen dehh.. ini koleksi kesekian kali nyaa dari aerostreet🤙;netral
bagus semua, ukuran 38 pas di panjang kaki 23, ada sedikit noda tinta di sepatunya, semoga bisa ilang pas dibersihin. casual looknya keliatan bgt sepatu ini. terima kasih seller;senang
Sesuai expektasi ,Masha Alloh bahane nyaman ,lentur enak di pakai ,pake ukuran 38 pas;netral
Mantap,respon cepet  Pengiriman juga cepet  Bagus sepatunya ORI empuk enak dipake  Saran kasih bubble wrap biar lebih aman;senang
Untuk yg ke 2 kali nya cakep pol bner² harus lgsg gercep sih pas ada stok nya;netral
Bahannya enak bgt, empuk, pas juga dipakai. Desain ama warnanya juga cakep poll. Pengiriman cepat;senang
Keyren model dan bahannya, nyaman di kaki dan enak di pakai;netral
Produk sesuai iklan..semoga awet...pngiriman cepat dan aman;senang
manteuppp sesuai ekspektasi dan ukuran nya pass🫣🫣;netral
Pengirimannya cepat banget padahal ekspedisi lagi pada rame karena lebaran, pas dikaki, tapi buat kaki yg lebat better up size;senang
Jujur aja saya udah pakai aerostret bertahun2 tapi untuk kali ini agak kecewa,karna dari sepatu nya masih ada yang belum rapih,trus tali nya juga agak amburadul sedikit, over all baguss cuma yaitu di rapihin lagi aja buat sisa benang sama bekas coretan sample;marah
Dusnya agak penyok tapi sepatunya aman, saya biasa pakai size 39 kali ini beli size 40 karena kehabisan yang 39, tapi masih enak gak longgar;senang
Bentuk dan ukuran: cakep dan pas ukurannya Warna: bagus Daya tahan pakai: semoga awet dan kuat;senang
Istimewa le..jahitan rapih..cocok pokoknyalah..;senang
Mantap baramgnya, bagus... sudah langganan, berkali kali beli produk Aerostreet 👍👍👍;senang
Bentuk dan ukuran: Bagus Daya tahan pakai: Berkualitas dan baik;senang
Bahan bagus, nyaman, model keren, sol awet, ukuran pas;senang
Sumpah bagus banget banget nggak ekspek sebagus ini kualitas nya terus empuk juga luv banget pokoknya nya, terus juga pengiriman nya aman banget kotak nya nggak ada yang penyok;senang
detail nya bagus dan rapi sekali, sayang packing cuma dibungkus plastik bening dan sudah robek saat sampai,but its okey kardus ga penyok.;senang
ternyata pas dtg bnran cakeeeppp sepatu'a;netral
so sorry agak kecewa karna paketnya ga proper di bungkusnya, dateng cuma kardus sepatu sama di kasih plastik aja tanpa bubble wrap atau apapun jadi kardusnya ada yang bolong-bolong, padahal ini buat kado:(. tapi overall sepatunya bagus, paling saran aja lain kali lebih diperhatikan lagi yaps;netral
Good quality and good style.. Ini pembelian produk ke dua aerostreet..  Tapi yang kiri bentuknya tidak presisi;netral
Maaf baru kasih ulasan Duss penyokk, tapi barang aman, uuuhhh matulita sepatu nya...;senang
Bentuk dan ukuran: Stylish sangat cocok dipakai buat jalan2. Ukuran sesuai deskripsi. Semoga awet dan tahan  lama.;netral
cakep kali wak pas dan nyaman juga,untuk box sepatunya ga ada yang penyok sesuai di video;netral
alhamdulilah barangnya datang juga untuk sepatunya kualitas nya bagus designnya keren memang bagus lah produk lokal ga kalah saing untuk jahitannya perlu di rapikan lagi selebihnya bagus si Daya tahan pakai: awet Bentuk dan ukuran: pas;senang
Jahitannya masiih agak kurang rapih dan packing nya asal asalan banget tanpa buble wrap cuma di bungkus plastik bening doang dan akhirnya box nya penyok;netral
sesuai deskripsi, ukuran pas di kaki. Material sepatu sesuai harga, jahitan agak kurang rapi yg didapat, banyak benang keluar walau tidak mengganggu fungsi. Overall ok...;netral
Bentuk dan ukuran: Baik Aroma: Baik Daya tahan pakai: Baik Meskipun pesen yang putih tp admin nya baik sebelum kirim konfirmasi dulu bahwa yg putih nya habis jd direkomendasikan terlebih dahulu sebelum dikirim biar TDK kaget ,Pertahankan AeroStreet;senang
mantap n sesuai GBR, bahan bagus n nyaman d pakai.;senang
Ini pertama beli disini semoga bahan nya bagus dan tahan lama untuk dipakai,untuk penampilan sangat bagus sekali;senang
Bagus bangettt..murah tapi kualitas ga murahan. Menyala brand lokal Indonesia!;senang
harga miring kualitas oke bgt. cm kalo mau pilih hrs up size dr biasanya. uk nya aga kecil;marah
Barang sudah sampai dengan selamat bagus sesuai harga, pas tidak kebesaran tidak kekecilan. Plastik dus nya agak sobek kek ada yang kepo tapi gak masalah terimakasih ☺️;senang
Cakep banget nyaman pas dipake , suka banget aslinya lebih kecee🥰🥰🥰;netral
gak nyangka ternyata sebagus itu, bahannya juga kuat bagus banget deh...;senang
enak banget lembut bahannya tebal;senang
Keren, bahan halus dan empuk. Kualitas no kaleng-kaleng..;netral
bagusss, tapi berat banget ya hheheheh Bentuk dan ukuran: bagus, ukurannya pas Daya tahan pakai: semoga awet deh Warna: coklat tua;senang
Overal baik,walau ada nubmark di sol bawah,bahan enteng adem,enak dah pokoknya;netral
Brand Lokal yang mampu bersaing dengan brand luar, aerostreet gausah di ragukan lagi 🔥;sedih
Bagus bgt,empuk lagi, nyaman dipakai jogging dll, the best pokoknya Aerostreet💝🙏👍;senang
desain baguss cocok buat kaki lebar sm pas di outfit apa aja, smoga nyamannn;marah
masa hrga mehong tp bungkus pas ngirimnya ga effort   saran buat tokonya lebih effort lg bungkus paketnya jgn cuma plastik bening aja g ada bubblewrap dll nya   saran jyva buat yg mau beli ssuai ukuran kaki jgn d upsize krna gede banget  dr ukuran biasa;netral
BAGUS BGT TAPI KOTAK NYA NTAH KENAPA BASAH TAPI SEPATU NYA GAK PAPA;senang
bagus tapi sayang belinya ukuran aga mepet😭😭;senang
looknya keren, classic, pengiriman cepet 2 hari sampe.;netral
