text;emotion
Aroma: Masih bau lem banget ya;senang
Bajunya aga nerawang, sebelumnya beli disini warna navy tebel.;netral
Bagian ketiak Bolong.;netral
cocok dan pas👍;senang
Bagus sepatunya sudah 4x beli di aerostreet;senang
Kekecilan;netral
"Sepatu dn modelnya keren. Tapi syang agk berat utk ukuran anak"".size 37 kelas IV sd passs";senang
Bgs;netral
Paket baru aja nyampe, diluar prediksi sih ternyata sepatu nya agak berat tapi sesuai lah sama harga yang segitu 😁;senang
B;netral
Barang nya si bagus, cuma payah pengiriman nya, dua nya rusak.;netral
gk bgus  gk rapi;senang
Dusnya aja sih yang kurang rapih;senang
Mantap keren sih dengan harga 200ribuan ajah;senang
Warna: Ok;netral
ukuran 42 tapi sempit;netral
Ini bukannya barang reject ya harusnya?;netral
Ini serius official jual barang reject? Kotor jahitan gak rapi...Bahkan lebih dari 6 foto loh yg bisa diupload....;netral
Bajunya bagus, kainnya tebal;senang
Expedisi jelek barang ku diantar 3mingguan kecewa parah...buat kaos nya keren aerostreet mantap;netral
Kurang bagus;senang
"bahan tipis banget, katanya bahan ga nerawang eh pas di coba nerawang
cukup sekali dan ga ga lagi belanja disini😆
pikir pikir lagi deh yang mau co😭";senang
"Review jujur sepatu keren... finishing kurang rapi,
Sepatuny berat";senang
Bagus ..cantik;senang
"paket sudah d terima dgn baik
pengiriman cepat
packing rapi,,
tp size 30nya kecil..
sya biasanya pake Size 30";senang
"paket sudah d terima dgn baik
pengiriman cepat
packing rapi,,
bahannya adem n halus.
tp size 30nya kecil..
sya biasanya pake Size 30";senang
Produk bagus cuman di lidah sepatu kurang rapi . Tolong lebih di rapikan lagi biar banyak konsumen terakhir.;senang
Masak iya bagian dalam nya pakai bahan sterefom. Yang bener aja bahan sejelek itu  jaitannya menipu mata;senang
Sy pesan 2 pasang kenapa yg datang cuma 1 pasang????;netral
"Sepatu bagus
Size juga pas
Tapi sayang packaging nya kurang bagus
Jebol kemana"" ..tolong ya seler di perbaiki lagi untuk packaging nya";senang
Celananya bagus, kainnya halus dan elastis jadi pas waktu di pakai;senang
41 tp besar kaya 42. Pdhl sering beli 41 selalu pas. Ini sepatu ke 5;senang
JELEK MENYESAL BELI DI SINI BARU BEBERAPA HARI JAITANNYA UDAH KELEPASS BUSUKKK JAITANNYA GA KUAT JANGAN BELI DI SINI GESS;marah
model bagus, packing rapi, pengiriman cepat;senang
box benyok;netral
oke bagus tapi ukuran 34nya abis jadi ngpres banget di kaki;senang
sangaatttttt bagussssss;netral
No 42 tapi k cil;netral
"Pola berbeda apa tidak ada kontrol/qc
Pola berbeda jauhhh";netral
mantap boss kuu 🔥🔥🔥;senang
Semua datng dengan k adaan baik;senang
Bagus;senang
"Shape and size: Gak sesuai sama sizechart
Seller gak informatif, katanya seseuaiin size chart, giliran diturutin malah pas dateng sempit banget, gabakal kepake juga ni barang";senang
bagus, tapi aku ambil 40 jadi kebesaran, seharusnya ambil 39 si😔;senang
"Shape and size: Shape bagus. Size nya kebesaran. Biasa aku pakai saiz 41
Color: Ada bercak noda kuning, tidak suka kayak sepatu lama 🥲";senang
Pas datang ko sobek gitu dibagian lehernya, terus ada noda gitu dibagian bawah bajunya..;sedih
Bagus;senang
B aja;netral
B aja;netral
Barang nya bagus ,tapi minimal pekingan nya pakek kardus kek,ap yang lain takutnya ada ap2 di jalan penyok ap segala mcm 😭;netral
Sepatunya kualitasnya bagus, cuman pecking nya kurang jadi penyok penyok;senang
"Sangat puas,,, 
Bahan tebel";senang
Bahan dalam ny berbulu lengket ke baju;netral
Bentuk dan ukuran: Cukup nyama  kalau dipake. Cuma ukuran sepatu menurutku agak ngepres dilihat dari keterangan ukuran kalau biasa aku pake , biasa aku ambil yang 42 masih aga longgaran;senang
Bentuk dan ukuran: Sesuai gambar dan sesuai ukuranx yg di pesan.;senang
Beli 2 paket pecah 1;marah
bagus, keren, sayang packingnya cuma dari kardus sepatunya itu sendiri, tidak dikasih buble;senang
modelnya keren tapi masih ada sedikit Cacat produksi didekat pergelangan tali , modelnya bagus , sol dan ukurannya kurang pas , kenyamanan sangat nyaman . mohon berbenah min QC ditingkatin lg :);senang
Good;senang
Bagus;senang
Bagus;senang
Bagus;senang
Suka bagusss bahannya;senang
nasib saya dikirim nyebrang pulau tapi pecah;marah
Bagus dan pas;senang
sablon gambar nya kurang;netral
Bahannya lumayan tebal cocok buat sehari-hari;senang
Finishing kurang rapi;senang
Bagus ko baik cuma ada perbedaan aja diblakang sepatunya. Selebihnya nyaman aman;senang
"sepatutnya si ok 
maaf kasih bitng 3 Karana pengiriman nya mundur smpe 3hri";senang
Sempit....ukuran saya 42 ,,upsize ke 43 ttp aja sempit ga enak;senang
Bentuk dan ukuran: ukuran kekecilan padahal aku biasa ukuran 40, udah aku naikin ke 41 tetap aja kekecilan, tapi panjang sendalnya pas. cuma area selop masuknya kaki sempit banget;senang
Ukuran tidak sesuai, mengecewakan;netral
Bentuk dan ukuran: Terlalu tebal, saya sarankan agar menurunkan 1 angka dari size yg biasa dpakai, diaku pakai biasa size 32 besar... 30 aja kayaknya muat;senang
Bahan adem, warna real picture sesuai saat live;senang
"Warna: oke
packing nya kurang rapi";senang
Pesan putih yang di kirim warna biru karena kosong katanya🤦🏻‍♂️;sedih
UKURAN 41 DESKRIPSI 27CM TAPI TIDAK MUAT DI KAKI SAYA, DI MERK LAIN BIASANYA KAKI SAYA PAS TAPI DI AEROSTREET MALAH TIDAK PAS. SAYA KECEWA DAN PENUKARAN BARANG DITOLAK MENTAH-MENTAH;netral
Kualitas produk: Ok. Tapi untuk harga segitu kurang tebal sedikit ya kak. Tapi unt segi kenyamanan ok lah;senang
"Bentuk dan ukuran: 44
Aroma: baru
Daya tahan pakai: bagus
Warna: hitam
untuk sepatu nya bagus sekali, tetapi untuk kardus nya agak penyok,";senang
Kainnya tipis;netral
Pengiriman lambat;netral
sesuai dengan yg diharapkan;senang
Keren di pake nendang kepala sekolah efek nya lumayan sakit;senang
Kurang tebel;netral
Kemarin beli sepatunya kekecilan biasanya pakai 42 klw 43 baru cocok, ini beli selopnya no 43 tpi takut kekecilan jdi pesan no 44 eeh kebesaran 😩 brarti aku cocoknya di 43 next beli yg 43 laa, klw yg lain aman barang mantaap👍;senang
lumayan bagus,pengiriman cepat..tp sayangnya ukuran XL lebar badanya kegedean harusnya ukuran L,klo panjang lengan sama badan sih pas..kemarin minta ganti ukuran L tp katanya ga bisa pdhl sdh langganan beli aero stret😑😑;senang
"Ukuran gak sesuai chart n gak normal.
Minta ganti naik size gak dikasih. Gilax, brand suram.";netral
"Ukuran gak sesui chart n gak normal.
Minta ganti naik size gak dikasih. Gilax, brand suram.";marah
Bahannya lumayan adem, untuk harga segitu worth it lah.;senang
Segitu dulu ya bintang nya  soalnya blm di buka;senang
kardus sobek;netral
lumayan;senang
beli kaos 4 yg dateng cuman 2.. anj;netral
beli kaos 4 yg dateng cuman 2.. anj;netral
beli kaos 4 yg dateng cuman 2 .. anj.;netral
Mantaaap ka. Sesuai harga. Toko amah semoga jadi langganan;senang
Barang sudah sampai pemngemasan rapi sesui di foto. Blm di coba semoga tahan lama;senang
"Not bad
Tapi adaa sedikit masalah yaitu jahitan nya ada yang lepas satu tapi not bad lah";senang
Bahan bagus. Adem tapi agak tipis.. trus ini ada noda nya. Tolong sebelum kirim dikoreksi dulu.;senang
Bahan Dan modelnya gokil banget. To syg size 41 nya kekecilan dikakiku.padahal selalunya pakai size 41.klo until kurirnya memang andalanku.👍;senang
kekecilan sekali, informasi tang diberikan tidak sesuai, sudah order sesuai ukuran kaki saya dan sudah mengikuti size chart nya sendal ini yang ada di deskrips, tapi tetap kekecilan, chat baik2 ke admin respon nya tidak jelas, sangat mengecewakan.;senang
sendalnya sangat kecil, size chart nya tidak sesuai, padahal sudah naikin 1 size dari ukuran kaki saya tapi tetap kekecilan, sudah chat terlebih dahulu ke admin tapi respon nya tidak jelas yang dibahas muter2 disitu aja, saya terpaksa memberikan bintang 1 ke toko ini karna melihat respon admin nya;senang
keren abissss😻😻😻;senang
Gk dapet stiker;netral
Yg kanan kegedean🤦‍♂️;netral
Pesan 2 celana malah cuma 1 yg datang. Sangat mengecewakan. Padahal sudah langganan disini;sedih
Barang nya ok,bahan nta lumyan lah;netral
oke;netral
Bentuk dan ukuran: pas;netral
Bagus tapi kebesaran😌 padahal biasa ukuran 42;senang
"barang bagus.. 
tp pengirimannya lama... ekspedisinya lola";senang
Good;senang
Bagus;senang
bagus, sesuai gambar, cuma ternyata berat ya;senang
Box sedikit penyok;senang
👍cuma lama doang kaya pengiriman dari luar negri.;netral
Saran buat yang mau beli, pilih ukuran yang lebih besar dari ukuran kaki mu, aku beli yang ukuran 40 panjang kaki 25,9cm (panjang kaki ku 24,8cm), waktu dipake lumayan sempit, kecewa karena ngga ambil ukuran 41/42, untuk sepatunya sendiri yaa lumayan lah dengan harga segitu.;senang
Barang oke, warna bagus, desain juga bagus, pengiriman lumayan lama, cuman minus di box + cuttingan nya, box nya cuman pake box trus di plastikin menurut aku kurang sih box nya juga penyok, trus soal cuttingan, cuttingan nya kurang bgt menurut aku karena ada jahitan yang kurang rapih dan bau lem;senang
Bagus;senang
bagus;senang
mnyalaaa polll;netral
Baik;senang
kekecilan;netral
Sesuai,real pic hanya tinggi solnya trnyata;senang
Lain yg di co lain yg di kirim;netral
klw mau ambil yg agak oversize ambil uk xl ya gais bagus ko kaosnyaaa;senang
Deskripsi di buat lebih jelas sama ukuran size jdi gak bingung yg order saya order uk 39 uk di deskripsi 26cm eh pas dateng ke kecilan sedangkan uk saya 25,5 kan seharusnya pas eh ini malah kekecilan;senang
saya ajakin kerjasama bikin produk, gak pernah dibales.;netral
Ukuranya gk sesuai no 42 biasanya longgar ini sempit;senang
bahannya bagus,warna sesuai;senang
bahan nya bagus tapi sayang ukuran 44 kok beda lebih besar sama ukuran 44 yang model kayak gini;senang
ada noda, lain kali sebelum kirim di sortir dan pastikan dlu.;senang
kecewa berat karena barang yg diantar sudah ada noda dan kelihatan barang produk lama ☹️ , pliss bngtt saya baru pertama kali beli di aerostreet langsung ginii;sedih
Terbaik;senang
Sangat buuuuagus... Kainnyaa adem;senang
Bggsss;netral
"Bentuk dan ukuran: Pas nyaman di pake
Warna: Bagus
Daya tahan pakai: Bagus awet";senang
Oke;netral
pengiriman cepat kualitas bagus;senang
okelah untuk harga segini;netral
Bgus;netral
Sol in tidak rapi sehingga membuat sakit di kaki saat dipake;netral
tolong cek lebih teliti, kurang rapi ini.;senang
lumayan;senang
Boxnya udh penyok, dan mungkin itu penyebabnya solnya bisa ketekuk gini. Mungkin karena kesalahan pihak ekspedisi. Tapi jadinya ga nyaman dipakai karena jadinya ada jendolan gt🙏;senang
"Jahitan nya ada yg kurang rapi
Sepatu nya Kebesaran dikit 😌";senang
Kualitas produk: Bagus sesuai dengan harga 👍🙏;senang
Untuk penjual tolong lebih di perbaiki pekingan nya box hancur untuk sepatu sesuai;senang
Bagus;senang
bahan nya rusak di dalam dan logo Hoops nya tidak ada;marah
sepatunya besar sebelah,yang kanan no 38 ,yang kiri no 37;senang
lumayan bagus lah harga sgitu;senang
Bagus cuma kekecilan biasa pakek no 43,saran bagi yg mau ambil up size 1 nomor;senang
kainnya gampang lingset bahannya tipis selebihnya oke;netral
mantap;senang
Padahal sudah di kasih keterangan beda warna, datangnya 3 pcs sama;senang
bagus untuk harga segini;senang
barang mendarat dengan selamat...packinganya rapih aman sentosa, thankyou..;senang
Bagus sih, tapi agak kotor, ga bersih, udah berbulu walaupun masih baru. But it's okay semoga dia sukaa eheheh;senang
Harus dinjahit lg krn model jahitan yg di septu ternyata hanya motif doang bukan di jahit asli;senang
Ada yang sobek bajunya sayang sekali🙃;senang
kena apess dapet barang gini, sdh dicuci dikasih vanish trus disikat tapi tetep gak bisa ampunnn;netral
Selalu puas dgn produk aerostreet,over all bagus cma trnyata warna birunya bkn yg cerah gt;senang
okelah;netral
ok;netral
Bahanya bagus tebel,nyaman digunakan buat olahraga juga enak;senang
Ga espek banget bajunya;netral
kain tebal,bahan halus;senang
Baju kekecilan tapi gabisa dituker, padahal ada gideo unboxing dan tag masih utuh;senang
Barang sudah sampai tujuan;netral
Jahitan dan sambungan gk rapi...masih banyak benang dan karet sambungan yg gk rapi ditumit. Koq msh sambungan ya???;senang
"barangnya bagus, sesuai harga 

tapi males banget soalnya cepet banget habisnya😭";senang
Sayang sekali produknya bagus cuma BB aku 62 TB 152 kkecilan pas pinggulnya mungkin juga karena perutku buncit kali ya jadi gak masuk;senang
Pembelian ke 2 barang mantap cepet sampe gak ngecewain sama sekali, pleace lah aerostreet stokin yang tokyo white grey;senang
Tolong qc nya kalo ngecek yang bener, banyak jahitan tidak rapi, dan benang jahitan masih panjang tidak di potong;senang
Ukuran pas bahan bagus nyaman dipakai;senang
Kualitas produk: Bagus;senang
Kualitas produk: Bagus;senang
Lumayan bagus;senang
disepatunya banyak jaitan lebih dan ga presisi;senang
sepatu nya bagus, cuma uk nya kecil ngepas banget di kaki anak saya pasti kepakai sebentar saja. pengiriman lama sampainya, tolong packingnya di perbaikin lagi untung bungkusnya agar lebih rapih lagi. terimakasih;senang
sayang, ukuran mentok cuma 36;senang
Barang nya cukup bagus dan sesay ama ama di gambar cukup puas. Namun kurang memuaskan pekejing nya sangat rapuh... Tolong di perbaiki kedepan nya selebihnya nya baratang mantep. Dan puas trimakasih.........;senang
Mantab dah, langganan produk ini;netral
bagus, tapi ada beberapa benang yang kurang rapih dan ada sedikit kotor;senang
Bagusss bgtt barang nya❤;netral
boxnya agak peyot 💔, untung barangnya aman, lain kali kalo packing, pake Bubble wrap dong min masa udah se loyal ini sama produk lokal malah dikecewain 😞;senang
Bagus;senang
"Dapet yang bolong dan jahitan ga rapi, dan kotor
Ini bisa di retur engak ya";senang
bagus 👍;senang
Bagus;senang
Mantap;senang
Kualitas produk: bagus bngt lain kali beli lagi😙;senang
bagus banget buat anak muda;senang
Gaada konfirmasi apa2, yang dateng bukan yang dipesen;netral
Enak;senang
Bahan kaosnya ok tebal sepertinya adem blom di coba;netral
Good;senang
Bagus;senang
Bentuk dan ukuran: sepatu nya rada kecil pdhl ambjl sz 41;netral
Kak padahal kainnya baguss tapi kenapaa dikirimm ada bolong bgini kak;netral
Sepatunya cukup bagus dan nyaman buat harian;senang
worth it banget, dapet harga murah tapi barang ga murahan;senang
Bagus bhan jaitan rapih;senang
nyampenya lama bgt bbrp minggu🫠;netral
Sangat memuaskan, sesuai dengan iklan;senang
"saya memesan 2 celana, beda warna tapi satu ukuran, yaitu size 32
di chart size pinggang 42.5cm, tetapi yang saya terima 40.5
chat ke penjual, disuruh ajukan komplen ke aplikasi
saya komplen ke aplikasi, tetapi penjual menolak komplen saya, saya ajukan lagi, penjual menolak komplen, tetapi pihak tokped menyetujui komplen(refound) 
saya memilih untuk refound dan menunggu kurir menjemput paket kembali, namun kurir tidak ada datang untuk pick up hingga batas penjemputan
lalu saya cek tokped, ternyata penjual kembali menolak komplen saya, padahal saya telah menyertakan foto ukuran dari celana yang saya terima";senang
"saya memesan 2 celana, beda warna tapi satu ukuran, yaitu size 32
di chart size pinggang 42.5cm, tetapi yang saya terima 40.5
chat ke penjual, disuruh ajukan komplen ke aplikasi
saya komplen ke aplikasi, tetapi penjual menolak komplen saya, saya ajukan lagi, penjual menolak komplen, tetapi pihak tokped menyetujui komplen(refound) 
saya memilih untuk refound dan menunggu kurir menjemput paket kembali, namun kurir tidak ada datang untuk pick up hingga batas penjemputan
lalu saya cek tokped, ternyata penjual kembali menolak komplen saya, padahal saya telah menyertakan foto ukuran dari celana yang saya terima";senang
dengan harga segitu bahan teballl;netral
