Teks Asli;Prediksi Lexicon
"mantaaapppp👍👍👍👍
maaf kalo sempet marah* karna pengiriman yh lama, takut waktunya ga kburu buat mudik soalnya😅
cuman saran aja, kalo yh biasa make size 39 mending beli yg size 38, soalnya di aku aja kegedean,
lbih aman lagi, di ukur dlu alas kakinya pake penggaris sekolah, soal kalo mau nuker size ga bisa, pengalaman soalnya.";senang
Pas & Sesuai;senang
udah kedua kalinya beli sepatu di aerostreet, dan hasilnya memuaskan selalu. thanks aerostreet.;senang
Lokal Tak Gentar. Maju terus Aerostreet. Desain keren, harga terjangkau, dan yg terpenting menyediakan ukuran 44-45 utk kaki saya yg jumbo ini. Jarang produk lokal buat uk segini. Good job!;senang
Ada harga ada kwalitas,sesuai ekspektasi lah harga 119 kalau di harga 199 sangat tidak sesuai…;senang
Mantap modelnya 👟. Desainnya keren 👍. Bahannya berkualitas. Cuman sayangnya, saya tidak bisa pakai jadi yaa saya hadiahkan saja..;senang
mantap bgt;senang
mendarat dengan baik dan tidak ada yang rusak,;netral
Jaitan rapi.barang cepat sampai,;senang
hatur nuhun;netral
"overall sepatunya bagus..
packaging standar
pengirimannya agak lama, smpenya 7 hari
but thankyouu, aerostreet, recomended shoe.";senang
"kardus luar sobek.. 
tapi isinya utuh & barang masih bagus
terimah kasih..";senang
"Sepatu lokal harga lokal 👍🏽👍🏽👍🏽
Finishing rapi , jaitan rapi ... mantap
Ga nyangka sepatu kya gni ga sampe 100k";senang
seneng banget dapet sepatu lokal yang bagus bamgett tapi harganya ramah buat di custom paint gitu, thank youu;senang
The best ...;senang
barang mantap, kualitas dan harga top;senang
mantap gan barang bagus🙏;senang
"Mantap!!!
sesuai tagline #LOKAL TAK GENTAR";senang
pas di kaki dan keren  ....;senang
mantepDesainnya keren 👍. Sepatunya nyaman. Mantap modelnya 👟. Bahannya berkualitas. Proses pesanan cepat. Packaging rapi.;senang
Pesanan sesuai, liat foto aja ya sisanya;senang
"parahhh bagus banget 🔥❤️🇮🇩 
#LOKALTAKGENTAR";senang
Puas barang murah tapi berkualitas. Pengiriman cepat pula. Sukses terus Aerostreet..;senang
mantep sih ini harga 100 ribu dengan kualitas kaya gini #lokaltakgentar;netral
talinya aja ini kurang panjang min;netral
overall okay intinya;senang
Mantab euy, keren pisan, pengiriman cepat, semoga awet, recomended banged aerostreet;senang
mantaab ,kereen;netral
Lokaltakgentar MANTAP;senang
barang mantap....harga merayap....;netral
selalu puas belanja disini;senang
G tau lagi dah mau bilang apa, di chat dah g di respon lgi...;netral
Keren banget. Ga nyangka sepatu sebagus ini dikasih harga merakyat. Sukses trus Aerostreet;senang
mantappp;netral
oke;netral
Gokil sih emang Aerostreet, bagus banget barangnya, mungkin lain waktu bakal jajan sepatu lagi disini.;senang
"mantul .. recommended bangeet .teruskan pertahankan dengan harga murah 
 cuma kekecilaan .
#lokaltakgentar
#lokalmurahmeriah
#lokalmanyossssss👍👍👍👍
#lokaloriginal
#lokalbersaing
#lokalmurahmurahmurahhhhmurmerrr👍
#yangpentingoriginal";senang
"thanks gan barang sesuai mantap 
#LokalTakGentar";senang
barang bagus sesuai pesanan;senang
mantap ahh Gece barang sampe, sabtu pesan seninnya udah sampe 👍 thankYou AEROSTREET ❤;senang
keren banget, Sepatunya nyaman. Mantap modelnya 👟.;senang
Ukuran sesuai.;senang
Desainnya keren 👍.;senang
overall bagus cuman bagian ini aja yg kurang enak diliat;senang
pengiriman lama, mending belinya lewat ****** aja v:;netral
cocokk bgtt;netral
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Packaging aman 🙏. Ukuran sesuai. Bahannya berkualitas.;senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍.;senang
Sepatunya nyaman Mantap modelnya 👟 Proses pesanan cepat Ukuran sesuai Packaging rapi Penjualnya ramah banget Respon penjualnya top Bahannya berkualitas Packaging aman 🙏 Desainnya keren 👍;senang
Sepatunya nyaman. Mantap modelnya 👟. Ukuran sesuai. Proses pesanan cepat. Respon penjualnya top.;senang
selalu mantap emang aerostreet cuman pasti dusnya penyok. tak apa lah jauh soalnya dari jawa ke bandung wkwk. mantap recommended bangetSepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai. Packaging aman 🙏. Penjualnya ramah banget.;senang
saya puas dengan produk iniDesainnya keren 👍. Sepatunya nyaman. Ukuran sesuai. Bahannya berkualitas.;senang
"Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai. 
Cuma packingnya aja yg kurang aman, tidak ada tambahan bubblewrap sedikitpun, untung barangnya masih aman
lain kali bisa diperbaiki lah";senang
Sepatunya nyaman. Desainnya keren 👍. Ukuran sesuai.;senang
berkualitas gak asal buat;netral
Desainnya keren 👍. Sepatunya nyaman. Penjualnya ramah banget. Bahannya berkualitas. Mantap modelnya 👟. Proses pesanan cepat. Respon penjualnya top. Packaging rapi. Packaging aman 🙏. Ukuran sesuai.;senang
sepatu bagus.. mantap.. pelayanan ok.. selalu puas belanja disini.. Bahannya berkualitas.;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai. Bahannya berkualitas.;senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟.;senang
mantap 👍;senang
Sepatunya nyaman. Bahannya berkualitas.;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai.;senang
best cantik sekali;senang
Ukuran sesuai. Sepatunya nyaman. Proses pesanan cepat. Respon penjualnya top.;senang
Sepatunya nyaman. Mantap modelnya 👟. Penjualnya ramah banget. Proses pesanan cepat. Desainnya keren 👍. Respon penjualnya top. Bahannya berkualitas. Packaging rapi. Ukuran sesuai.;senang
GUD;netral
oke lah kalo yang ini;netral
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Bahannya berkualitas.;senang
Sepatunya nyaman. Mantap modelnya 👟. Penjualnya ramah banget. Desainnya keren 👍. Bahannya berkualitas. Ukuran sesuai. Proses pesanan cepat. Proses pesanan cepat. Packaging aman 🙏. Packaging aman 🙏. Respon penjualnya top. Packaging rapi.  hehe;senang
Desainnya keren 👍. Mantap modelnya 👟. Ukuran sesuai. Packaging aman 🙏.;senang
Paket sudah tiba dengan selamat. Produk sesuai dengan deskripsi... Sukses selalu utk penjual. 🙏🙏🙏😎😎😎😎🤘🤘🤘🤘🤘🤘🤘🤙🤙🤙🤙🤙🤙🤙Sepatunya nyaman. Bahannya berkualitas. Respon penjualnya top.;senang
Sepatunya nyaman. Mantap modelnya 👟. Bahannya berkualitas. Desainnya keren 👍. Proses pesanan cepat. Packaging aman 🙏. Respon penjualnya top. Penjualnya ramah banget. Ukuran sesuai. Packaging rapi.;senang
salah pilih ukuran sih, tapi kualitasnya mantap sih;netral
Sepatunya nyaman. Bahannya berkualitas. Ukuran sesuai.;senang
"barang nya cpt Sampai
sepatu nya keren bosDesainnya keren 👍. Mantap modelnya 👟. Proses pesanan cepat. Packaging rapi. Packaging aman 🙏. Ukuran sesuai.";senang
Desainnya keren 👍. Sepatunya nyaman. Penjualnya ramah banget. Mantap modelnya 👟. Ukuran sesuai. Bahannya berkualitas. Respon penjualnya top.  proses pengiriman yang sedikit lama. tapi overall OKE BANGET ...order ke 7 kalinya;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai. Penjualnya ramah banget. Bahannya berkualitas. Packaging aman 🙏. Proses pesanan cepat. Packaging rapi. Respon penjualnya top.;senang
Alhamdulillah barang sampe dg aman.  Mantap modelnya 👟. Ukuran sesuai. Packaging rapi. Respon penjualnya top. Proses pesanan cepat.;senang
Desainnya keren 👍. Sepatunya nyaman. Mantap modelnya 👟. Ukuran sesuai. Bahannya berkualitas. Penjualnya ramah banget. Proses pesanan cepat. Packaging rapi. Packaging aman 🙏. Respon penjualnya top.;senang
Desainnya keren 👍.;senang
"barang bagus oriDesainnya keren 👍. 

cuma packing ky asal jadi mudah di robek";senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍.;senang
Desainnya keren, Bahannya berkualitas. Proses pesanan cepat. Mantap modelnya 👟.;senang
Desainnya keren 👍. Mantap modelnya 👟. tapi sepatu-nya bau aneh;senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍. Proses pesanan cepat. Packaging rapi. Respon penjualnya top. Penjualnya ramah banget. Ukuran sesuai.;senang
Bahannya berkualitas.;netral
"Packaging aman dan rapi. Ukuran sesuai. Sepatunya nyaman.

Saran : mungkin kedepannya untuk potongan di bagian alas sepatu bisa diperhatikan lagi yak min, biar tambah mantep, tapi keseluruhan sudah bagus 😬";senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai, cuma sepatunya sedikit berdebu;senang
maaf ko dari toko yg menjual sepatunya gk di bungkus yg rapih yah Dan nomer sepatunya kegedaan banget 😅😅😅🙏;senang
Sepatunya nyaman. Bahannya berkualitas. Ukuran sesuai.;senang
Mantap modelnya 👟;senang
Barangnya (sepatu) oke, Kl disentuh keliatan jelas ini bahannyaa bagus walau harga murah. Designnya jg oke. Seller / admin jg bagus respondnya. Pengiriman jg oke standard dr Jateng - Jakarta. Overall bagus & oke.;senang
Sepatunya nyaman. Proses pesanan cepat. Penjualnya ramah banget.;senang
"di komplain minta retur juga tetap salah! 

pesan ukuran 42 di kirim ukuran 40, di komplain minta retur tetep aja salah yg di kirim mlah ukuran 43
saran= tolong pegawainya di training ulang biar lebih fokus dan teliti dalam bekerja";senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai. Packaging aman 🙏. Bahannya berkualitas. Packaging rapi. Respon penjualnya top. Proses pesanan cepat. Penjualnya ramah banget.;senang
Sepatunya nyaman. Bahannya berkualitas. Ukuran sesuai. Mantap modelnya 👟. Desainnya keren 👍. Penjualnya ramah banget. Packaging rapi. Proses pesanan cepat. Packaging aman 🙏. Respon penjualnya top.;senang
Sepatunya nyaman. Desainnya keren 👍. Penjualnya ramah banget. Mantap modelnya 👟. Proses pesanan cepat. Bahannya berkualitas. Ukuran sesuai. Packaging aman 🙏. Respon penjualnya top. Packaging rapi.;senang
Sepatunya nyaman. Desainnya keren 👍. Desainnya keren 👍. Ukuran sesuai. Mantap modelnya 👟. Proses pesanan cepat. Bahannya berkualitas. Penjualnya ramah banget. Packaging aman 🙏. Respon penjualnya top. Respon penjualnya top. Packaging rapi.;senang
Sepatunya nyaman.;senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Proses pesanan cepat. Penjualnya ramah banget. Desainnya keren 👍.;senang
Desainnya keren 👍.;senang
Sepatunya nyaman. Desainnya keren 👍. Mantap modelnya 👟. Penjualnya ramah banget. Packaging rapi. Ukuran sesuai. Respon penjualnya top. Proses pesanan cepat. Packaging aman 🙏. Bahannya berkualitas.;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Bahannya berkualitas. Proses pesanan cepat.;senang
mendarat dengan baik, terimakasih;senang
"Diterima dalam kondisi baik, sesuai dengan gambar. Packing rapi dan aman. Seller responsif dan cepat dalam 
memproses orderan. Sukses selalu Gan,,,";senang
Sepatunya nyaman. Desainnya keren 👍. Mantap modelnya 👟. Penjualnya ramah banget. Packaging rapi. Ukuran sesuai. Respon penjualnya top. Proses pesanan cepat. Packaging a...;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Bahannya berkualitas. Proses pesanan cepat.;senang
mendarat dengan baik, terimakasih;senang
"Diterima dalam kondisi baik, sesuai dengan gambar. Packing rapi dan aman. Seller responsif dan cepat dalam 
memproses orderan. Sukses selalu Gan,,,";senang
Tidak sangka, dapet kualitas bagus seperti ini dengan harga segitu murah. Mantap;senang
Modelnya keren! Pas di badan dan nyawan waktu dipake beraktivitas. Bahannya tebal tapi nggak gerak, kok.;senang
Puas lah. Puas dengan barang sama pelayanannya kurirnya. Hanya kotak aja sedikit rusak ngak bisa dipake lagi. Kedepannya kalo bisa dibuat buble min sekedar saran aja 🙏. Thangkiu;senang
Bahannya bagus, ukurannya juga pas sesuai sama yang di list;senang
modelnya keren, ukuran pas 39 nya. pengiriman si cepat kilat 2 hari sampai. packagingnya bawaan sepatu terus di kasi plastik aman isinya dan transparan. bahan solnya empuk dan enak;senang
mampir ke Reseller Resmi Aerostreet di Tokopedia.link/sendlapkan untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.;senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
"mampir ke Reseller Resmi Aerostreet di  Tokopedia.link/sendlapkan   untuk bisa dapetin Sepatu Aerostreet dengan Harga Retail dan 99K  Modelnya keren! Pas di badan; nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.";senang
barang sampai dengan selamat, kualitas seperti biasa sangat recommended, sudah pernah beli tapi kali ini dapat yang kurang rapi, but overall good;senang
barangnya sesuai deskripsi , ukuran sesuai , enak di kaki pda saat jalan;senang
Pengiriman cepat, barang sesuai pesanan, tapi packing kurang kardus basah kerna packing kurang, tapi sepatu aman  Terimakasih;senang
Ukuran pas kualitas oke sesuai dengan pesanan;senang
Nggak sebagus + tebel kaya produksi lama, jujur agak kecewa sama produk yang sekarang;senang
Barangnya sesuai pesanan. Sepatunya lembut nyaman dipakai. Dan warnanya netral jadi bisa pakai untuk baju warna apa aja. Sepatu ini punya abg saya,dan abg saya suka dengan modelnya.;senang
Bentuk dan ukuran: Pas Warna: Sesuai Seneng banget, barangnya ok, semoga awet;senang
Kualitasnya bagus untuk ukuran sepatu seharga ini;senang
Pesanan sudah sampai, barang sesuai pesanan, packing aman, pengiriman lumayan cepat, pakai voucher diskon jadi lebih murah, terimakasih;senang
sepatu bagus modelnya keren cocok untuk anak aku senang sekali. cuma pengiriman nya agak lama dari ekspeynya;senang
Barang sampai dengan selamat varian nyaa baguss dan kerenn tapi minus nyampe barang ada penyok nya;netral
Alhamdulillah, pesanan sudah sampai dengan selamat🥰 mudah²an awet untuk anak sekolah🥰 sejauh ini barang nya bagus,tidak ada cacat sama sekali🥰 next order yg lainnya🥰🫶;senang
Barang diterima dgn baik,ukuran pas sesuai pesanan;senang
Barang original,bahan bagus ,motif keren ,awet pastinya  Beli size 42 Dateng pas di kaki 🥰;senang
Bagus dan pas dipake. Insolnya juga enak gak licin.;senang
sepatu nya bagus banget, sesuai sama gambar nya, tapi untuk packaging box nya mungkin bisa di double in lagi box nya, karna pas sampai di rumah box nya penyet;senang
Sepatu nya bahannya tebal,bagus desainya,anaku suka,gak nyesel deh pokoknya,semoga saja awet KRNA baru pertama kali beli merk ini;netral
Bentuk dan ukuran: Sesuai dengan deskripsi Daya tahan pakai: Sangat tahan lama Aroma: Wangi Warna: Hitam yg aku suka;senang
look bagus, bahannya tebel, jahitan rapii juga. tapak nya ga terlalu berat bisa dipake buat harian, rekomen deh👍;senang
Bentuk dan ukuran: 41  ukuranya pas Daya tahan pakai: di bawahnha gak karet dan gak lentur Warna: warna sesuai Aroma: Biasa cuman di bawah sepatunya kurang lembut dan lentur  dan gak karet tapi semunya bagus dan oky  saya kasih Bintang 4 Bismillah semoga Awet 🙂👍;senang
Bagus, sesuai pesanan Barang ori;senang
barang terkirim dalam keadaan baik seller fast respon ukuran pas;senang
Bentuk dan ukuran: sesuai Aroma: sepatu baru Daya tahan pakai: sangat bagus barang sampai dengan baik dan realpict;senang
Gk nyangka barang bagus enak di pakai dan nyaman;senang
Pengiriman cepat, barang sesuai pesanan. trmksh;senang
alhamdulillah masyaAlloh akhirnya nyampee dengan cepat dapat harga promo cuma 85rb an mkasih aero 💛👌🏻;senang
Barangnya sudah sampai kk ternyata yg di poto sama dengan aslinya barangnya bagus dan kualitas produk menarik sekali lagi terima kasih atas barangnya kak❤️🥰☺️🙏;senang
Bentuk dan ukuran: Pas tidak terlalu sempit Warna: Hitam putih Mantap sepatunya;senang
Review jujur lengkap di YouTube (Asper Rando TV) Udh oke bgt sih sebenarnya 🙏;senang
barang sudah mendarat dengan mulus sesuai dengan gambarnya pas banget.;senang
Sepatunya keren , belum di coba sih ukuran nya pas atau nggak.;senang
Bagus bgt,sesuai deskripsi,estimasi sesuai,puas bgt pokokke...;senang
Terbaik emang aerostreet, produk lokal gak kalah saing;senang
Keren sesuai sama di foto tpi belum tau ketahuannya tpi jahitan rapi banget;senang
bagussss bgt sesuai sama ukurannn dan ga lamaaa ngirimnya;senang
Paket telah sampai ketempat tujuan dengan selamat. Mantap...barang nya sesuai dengan yang dipesan pokok nya sipp banget lah...👍👍;senang
Sepatu nya mantap, udah yg ke 3 kali nya saya belik,gak pernah kecewa sama sekali, produk lokal memang mantap;senang
mantap, nyaman dipakai, ukurannya pas;senang
ok, bro .... barang bagus dan cepat sampai ke alamat;senang
Alhamdulillah paket cepett bnget sampainya , barng amaaan .. daan pak suu sukaaa bangett spatu nyaa 😍😍😍;senang
mantap,baguss bangett sukaa pokoknya;netral
Sangat kece dan Feelnya sangat solid.;senang
Warna: hitam Bentuk dan ukuran: 41 (pas);netral
Aerostreet gak pernah gagal produknya;sedih
KEREN, MANTAP, NYAMAN...👍🏻;senang
Produk lokal paling rekomen, Produk yang di terima sesuai dengan deskripsi dan foto, kualitas bahan pun sangat bagus, semoga awet Warna: Sesuai foto Bentuk dan ukuran: Sesuai deskripsi yang di sampaikan di deskripsi produk Daya tahan pakai: Bahan tebal dan nyaman di pakai;senang
