text,emotion
"Barang tidak sampai-sampai, akhirnya batal beli.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Pelayanan tidak profesional, tidak akan beli lagi.","marah"
"Barang hilang di jalan, sedih rasanya setelah bayar mahal.","sedih"
"Tidak ada kompensasi sama sekali dari penjual.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang tidak bisa diretur karena alasan teknis.","sedih"
"Saya kecewa karena tidak ada opsi refund.","sedih"
"Barang biasa aja, nggak ada keistimewaan.","netral"
"Pengemasan biasa, tidak ada perlindungan ekstra.","netral"
"Tidak ada promo, hanya iklan menarik tanpa isi.","netral"
"Barang masih baru, tapi kurang cocok untuk saya.","netral"
"Barang biasa, tidak akan beli lagi kalau habis.","netral"
"Produknya memang bagus, saya pasti beli lagi!","senang"
"Sangat puas dengan pengalaman belanja kali ini.","senang"
"Kualitasnya di atas ekspektasi, mantap!","senang"
"Paketan rapi dan cepat sampai, pokoknya top!","senang"
"Barangnya sangat bermanfaat, saya senang!","senang"
"Barang tidak sesuai ekspektasi, mengecewakan.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Pengiriman sangat lama, hampir batal beli.","marah"
"Penjual tidak jujur, barang tidak seperti yang saya pesan.","marah"
"Barang tidak original, seperti palsu.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai deskripsi, sangat kecewa.","sedih"
"Kualitasnya menurun dari pembelian sebelumnya.","sedih"
"Barang tidak sampai tepat waktu, sangat menyedihkan.","sedih"
"Saya menyesal membeli barang ini.","sedih"
"Barang biasa aja, nggak jelek-nggak bagus.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan lebih.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur unggulan.","netral"
"Pengiriman biasa, tidak ada delay tapi juga tidak cepat.","netral"
"Tidak ada promo, cuma-cuma nunggu diskon besar.","netral"
"Produknya sangat memuaskan, pasti beli lagi!","senang"
"Saya senang, barang sesuai deskripsi dan berkualitas.","senang"
"Barangnya cocok untuk saya, terima kasih!","senang"
"Pengiriman cepat dan layanan ramah, mantap!","senang"
"Kualitasnya benar-benar oke, sesuai harga.","senang"
"Barang tidak sesuai deskripsi, sangat mengecewakan.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai, uang hangus begitu saja.","marah"
"Barang rusak dan penjual tidak merespons chat saya.","marah"
"Warna tidak sesuai foto, sangat menipu!","marah"
"Saya sedih karena tidak bisa paketan diretur.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang tidak sampai tepat waktu, mengganggu rencana saya.","sedih"
"Barang rusak, dan penjual tidak membantu sama sekali.","sedih"
"Barang tidak seperti yang saya harapkan, sedih rasanya.","sedih"
"Barang biasa, tidak ada kelebihan mencolok.","netral"
"Tidak ada masalah, tapi tidak akan beli lagi.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang oke, tapi tidak akan saya rekomendasikan.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Produknya sangat bagus, cocok untuk saya.","senang"
"Sangat puas dengan kualitas dan pelayanan toko.","senang"
"Barangnya lebih dari ekspektasi, mantap!","senang"
"Barang cepat sampai dan packing rapi.","senang"
"Kualitasnya luar biasa, puas banget!","senang"
"Barang tidak sesuai deskripsi, sangat kecewa.","marah"
"Barang rusak saat diterima, tidak bisa dipakai.","marah"
"Penjual tidak merespons meski sudah chat berulang kali.","marah"
"Barang tidak original, seperti palsu.","marah"
"Barang tidak seperti yang saya pesan, kecewa!","marah"
"Saya sedih karena barang tidak sampai tepat waktu.","sedih"
"Barang hilang di jalan, tidak ada solusi dari penjual.","sedih"
"Barang tidak bisa digunakan, kualitas menurun.","sedih"
"Barang rusak dan tidak bisa diretur, sangat menyedihkan.","sedih"
"Barang tidak sesuai foto, tidak ada garansi resmi.","sedih"
"Barang biasa, tidak ada kelebihan spesifik.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Barang biasa aja, tidak rekomendasi ke orang lain.","netral"
"Barangnya sesuai ekspektasi dan packing rapi.","senang"
"Saya senang banget dengan kualitas produk ini.","senang"
"Pengiriman cepat dan layanan pelanggan sangat ramah.","senang"
"Harganya murah tapi kualitas tetap bagus!","senang"
"Barangnya masih baru dan belum terpakai sama sekali.","senang"
"Barang tidak sesuai deskripsi, menipu banget!","marah"
"Kualitasnya buruk, bahkan untuk harga murah sekalipun.","marah"
"Penjual susah dihubungi setelah transaksi selesai.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Warna berbeda dari foto, sangat mengecewakan.","marah"
"Saya sedih karena barang tidak sampai tepat waktu.","sedih"
"Barang hilang di jalan, padahal sudah bayar mahal.","sedih"
"Barang tidak bisa diretur, penjual tidak merespons.","sedih"
"Kualitas menurun dari pembelian sebelumnya.","sedih"
"Tidak ada konfirmasi pengiriman sama sekali.","sedih"
"Barang biasa aja, nggak jelek-nggak bagus.","netral"
"Barang datang lengkap, tapi kurang memuaskan.","netral"
"Kualitas biasa, tidak ada fitur istimewa.","netral"
"Tidak ada promo, hanya iklan kosong.","netral"
"Pengemasan standar, tidak ada yang spesial.","netral"
"Produknya mantap, sangat bermanfaat buat saya.","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Barangnya aman saat sampai, packing ekstra baik.","senang"
"Kualitasnya luar biasa, recomended seller!","senang"
"Layanan pelanggan sangat responsif dan ramah.","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Ukuran tidak sesuai, ternyata lebih kecil.","marah"
"Barang rusak parah meski packing tebal.","marah"
"Promo ternyata tidak berlaku, akhirnya batal beli.","marah"
"Barang tidak original, seperti KW.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang tidak dikirim dalam waktu yang dijanjikan.","sedih"
"Kualitas turun drastis dari pembelian sebelumnya.","sedih"
"Barang tidak bisa digunakan langsung, harus ganti parts.","sedih"
"Barang biasa saja, tidak ada kelebihan mencolok.","netral"
"Tidak ada masalah, tapi juga tidak puas.","netral"
"Barang sesuai deskripsi, tapi tidak ada bonus tambahan.","netral"
"Kualitasnya biasa, tidak terlalu buruk juga tidak terlalu bagus.","netral"
"Pengiriman biasa, tidak cepat juga tidak lambat.","netral"
"Barangnya cocok untuk saya, pasti beli lagi!","senang"
"Produknya sangat membantu, kualitas premium!","senang"
"Barang datang cepat dan packing rapi sekali.","senang"
"Pelanggan ramah dan respon cepat, mantap!","senang"
"Warna dan bentuk sesuai ekspektasi, suka deh!","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang tidak sampai-sampai, akhirnya cancel order.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Pelayanan buruk, penjual tidak merespons chat saya.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai deskripsi, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa digunakan.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja, nggak ada yang istimewa.","netral"
"Barang oke, tapi tidak ada fitur unggulan.","netral"
"Barang sesuai deskripsi, tapi tidak ada diskon.","netral"
"Tidak ada keluhan, tapi tidak akan beli lagi.","netral"
"Barang biasa, tidak akan saya repurchase.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya bagus dan tahan lama, mantap!","senang"
"Paketannya aman dan barang masih baru.","senang"
"Barang cepat sampai dan sesuai ekspektasi.","senang"
"Saya sangat senang dengan pelayanan tokonya.","senang"
"Barang tidak sesuai deskripsi, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak dibeli.","marah"
"Barang tidak sampai, uang hangus sia-sia.","marah"
"Barang rusak dan penjual tidak merespons komplain.","marah"
"Promo tidak valid, sangat menipu!","marah"
"Saya sedih karena tidak bisa paket diretur.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang tidak sampai tepat waktu, menyedihkan.","sedih"
"Barang rusak dan penjual tidak membantu sama sekali.","sedih"
"Tidak ada kompensasi dari penjual, sangat mengecewakan.","sedih"
"Barang biasa aja sih, nggak ada kelebihan.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak akan saya beli ulang.","netral"
"Produknya bagus dan awet, saya pasti beli lagi!","senang"
"Saya sangat puas dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya di atas ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak sesuai foto, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak dan tidak bisa digunakan.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak seperti yang saya harapkan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak ada opsi refund.","sedih"
"Barang tidak sesuai deskripsi, sangat kecewa.","sedih"
"Barang biasa aja sih, tidak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya senang, kualitasnya benar-benar oke.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Barang tidak seperti yang saya pesan, sangat kecewa.","marah"
"Kualitasnya jelek, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak dan tidak bisa diretur.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang hilang di jalan, padahal sangat saya butuhkan.","sedih"
"Barang tidak bisa dipakai, sangat mengecewakan.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi tidak ada hal menarik.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada kejutan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Produknya bagus dan berkualitas, saya suka!","senang"
"Sangat puas dengan pengalaman belanja kali ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak sesuai deskripsi, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai, uang hangus begitu saja.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Penjual tidak jujur, barang tidak seperti yang saya pesan.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada solusi dari penjual.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada kelebihan.","netral"
"Tidak ada masalah, tapi juga tidak ada hal istimewa.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Produknya sangat memuaskan, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan packing rapi sekali.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi sama sekali.","sedih"
"Barang rusak dan tidak bisa digunakan, menyedihkan.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Barangnya sangat bagus, sesuai harapan.","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Kualitasnya oke dan harga terjangkau.","senang"
"Pengiriman cepat dan aman, mantap!","senang"
"Barangnya sesuai deskripsi dan masih baru.","senang"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai, penjual tidak merespons sama sekali.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak bisa digunakan langsung, kecewa rasanya.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang biasa aja sih, tidak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Produknya sangat bermanfaat, saya suka!","senang"
"Sangat puas dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak seperti yang saya pesan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Barangnya bagus dan sesuai ekspektasi, mantap!","senang"
"Saya senang dengan kualitas produk ini, sangat oke.","senang"
"Pengiriman cepat dan packing rapi, puas banget!","senang"
"Harganya murah tapi hasil tidak mengecewakan.","senang"
"Kualitasnya premium untuk harga segini, recomended!","senang"
"Barang rusak saat diterima, tidak bisa dipakai langsung.","marah"
"Warna tidak sesuai deskripsi, sangat menipu!","marah"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Promo ternyata tidak berlaku, akhirnya batal beli.","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang hilang di jalan, padahal sudah bayar mahal.","sedih"
"Barang tidak sampai tepat waktu, mengganggu rencana.","sedih"
"Barang rusak parah meski packing tebal.","sedih"
"Barang tidak bisa diretur, penjual tidak merespons.","sedih"
"Barang biasa aja sih, nggak jelek-nggak bagus.","netral"
"Tidak ada masalah, tapi juga tidak ada kejutan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Pengemasan standar, tidak ada perlindungan ekstra.","netral"
"Barang sesuai deskripsi, tapi kurang menarik.","netral"
"Produknya memang bagus, pasti beli lagi nanti!","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, sesuai harapan.","senang"
"Barang datang cepat dan aman, mantap!","senang"
"Layanan pelanggan ramah dan cepat merespons.","senang"
"Barang tidak sesuai deskripsi, sangat mengecewakan.","marah"
"Kualitasnya buruk, bahkan untuk harga murah.","marah"
"Barang rusak dan tidak bisa digunakan.","marah"
"Penjual susah dihubungi setelah pembayaran selesai.","marah"
"Warna pudar dari yang saya pesan, kecewa rasanya.","marah"
"Saya sedih karena tidak ada opsi refund.","sedih"
"Barang tidak sesuai ekspektasi, sangat menyedihkan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur.","sedih"
"Tidak ada kabar dari penjual, sangat kecewa.","sedih"
"Barang biasa saja, tidak ada hal istimewa.","netral"
"Tidak ada keluhan, tapi juga tidak akan beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada bonus.","netral"
"Pengiriman biasa, tidak cepat juga tidak lambat.","netral"
"Barang masih baru, tapi tidak terlalu spesial.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya benar-benar oke, mantap sekali.","senang"
"Paketannya aman dan barang masih dalam kondisi baik.","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Saya pasti beli lagi kalau habis, sangat bermanfaat.","senang"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","marah"
"Ukuran tidak sesuai, lebih kecil dari bayangan saya.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo ternyata tidak valid, sangat menipu!","marah"
"Barang tidak original, seperti palsu.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang hilang di jalan, tidak ada solusi sama sekali.","sedih"
"Barang rusak dan penjual tidak merespons chat saya.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Barang biasa, tidak ada fitur unggulan.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang masih baru, tapi tidak ada kelebihan mencolok.","netral"
"Tidak ada promo, cuma iklan kosong.","netral"
"Produknya sangat membantu, saya pasti beli lagi!","senang"
"Saya sangat puas dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Kualitasnya jelek, tidak sesuai harga.","marah"
"Barang tidak sampai-sampai, akhirnya cancel order.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa digunakan langsung.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang masih baru, tapi tidak akan saya rekomendasikan.","netral"
"Produknya sangat memuaskan, recomended seller!","senang"
"Saya senang, barang lebih dari ekspektasi.","senang"
"Kualitasnya bagus dan tahan lama, puas!","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Barang cepat sampai dan packing rapi sekali.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan uang hangus sia-sia.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa info.","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada keluhan, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak akan saya beli lagi.","netral"
"Produknya bagus dan berkualitas, saya suka!","senang"
"Sangat puas dengan pelayanan tokonya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan masih dalam kondisi baru.","senang"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak ada opsi refund.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
